0	2	0.06	3.3	-0.04	16.71	3.69	2.98	2.56	-1.51	1.14
0	1	0.1	1.62	0.23	1.22	-0.92	2.74	0.37	-1.29	0.46
0	3	0.14	2.68	0.17	2.59	4.69	3.54	1.53	-1.93	-0.75
0	1	0.15	2.11	0.29	-5.03	-0.33	2.69	1.18	-1.8	1.05
0	2	0.1	2.91	0.05	4.24	1.82	2.94	2.15	-1.39	0.13
0.04	3	0.17	2.68	0.51	10.21	4.73	2.27	2.46	-3.1	0.4
0	1	0.14	0.92	0.01	1.04	-1.77	2.55	0.32	-1.54	-0.02
0	1	0.25	1.65	0.12	-5.95	-3.35	3.06	1.61	-1.93	1.25
0.01	6	0.03	3.19	0.14	-0.3	2.43	1.09	0.87	-0.24	1.09
0	5	0.13	2.85	0.13	-1.33	1.2	2.8	1.61	-0.97	0.28
0.01	3	0.06	2.88	0.6	-2.52	3.28	2.35	1.04	-1.14	-0.86
0.63	2	0.12	2.1	0.1	-0.34	1.03	1.83	0.74	-1.47	-1.09
0.68	2	0.05	2.22	-0.04	-1.04	2.38	2.81	1.36	-2.04	-0.76
0	2	0.1	2.6	0.01	-0.76	2.19	3.33	1.99	-1.51	0.45
0.13	2	0.05	2.94	0.17	0.42	-2.35	1.15	1.55	-0.64	-1.36
0	2	0.04	2.84	-0.02	6.28	3.64	2.42	3.04	-1.08	0.68
0.13	3	0.04	2.5	-0.08	-2.38	-2.59	2.89	0.79	-1.19	-0.17
0.04	3	0.17	3.02	0.17	4.32	2.04	2.28	3.13	-0.7	-0.12
0	2	0.03	2.57	0.19	6.18	3.89	1.2	1.86	-0.6	-1.91
0.06	1	0.12	2.73	0.02	10.04	1.88	2.09	0.14	-1.2	1.18
0	4	0.06	2.98	0.39	-3.02	5	2.19	0.5	-1.2	0.33
0.08	4	0.14	2.9	0.09	-8.48	-0.12	1.63	1.06	-0.78	0.49
0.03	3	0.06	2.75	0.18	1.75	2.2	2.07	1.66	-1.06	0.02
0	4	0.09	3.13	0.01	14.52	5.52	2.81	2.38	-1.01	-0.04
0.44	1	0.25	3.01	0.28	-1.08	-0.92	0.88	1.16	-0.55	1.56
0	3	0.09	2.74	0.01	-3.09	5.16	2.99	0.85	-1.54	1.51
0.01	2	0.07	2.86	0.17	-3.55	0.1	2.45	1.65	-0.8	0.8
0.09	3	0.07	2.66	0.19	-1.26	2.22	0.5	1.44	-0.52	1.71
0.01	2	0.04	3.1	0.09	13.87	-1.26	3	1.75	-0.99	0.55
0	3	0.09	2.65	0.19	-3.74	0.69	2.19	1.85	-1.24	-1.14
0	1	0.06	3.07	0.34	13.25	5.65	2.08	1.72	-1.49	-1.34
0.04	5	0.03	3.2	0.24	-1.14	3.08	2.23	1.28	-0.43	-0.91
0	6	0.04	3.54	0.04	-5.36	3.43	0.84	1.53	-0.11	-2.8
0	3	0.04	3.29	0.17	-1.75	4.81	1.47	5.03	-0.53	-2.64
0.01	6	0.06	3.26	0.47	5.01	4.75	2.46	2.14	-0.89	-1.14
0.01	1	0.08	2.26	-0.28	-3.52	0.33	3.08	2.61	-2	-0.91
0.03	0	0.11	2.8	0.61	-4.04	2.41	2.47	2.17	-0.59	-1.31
0	6	0.01	3.58	0.42	3.22	6.84	1.85	0.8	-0.65	-5.07
0.01	3	0.14	2.39	0.54	-0.76	1.7	1.52	1.28	-0.67	-1.65
0.04	1	0.01	2.73	0.23	15.03	6.13	3.3	2.92	-0.86	0.56
0	4	0.07	2.87	0.56	-0.77	2.5	2.27	1.52	-1.47	-0.72
0	6	0.08	3.25	0.08	-0.97	2.91	0.19	1.58	-0.32	-0.65
0	6	0.03	3.1	0.05	-0.8	2.49	0.17	0.09	-0.15	-1.8
0	6	0.08	3.2	0.12	-1.67	1.55	0.21	0.71	-0.09	-0.51
0	6	0.05	3.52	0.17	-0.91	2.69	0.39	1.21	0	-0.5
